src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/中文奖项/DFA\2024\DFA_2024_03_9c215fc2_application_20241030_qOL8R.jpg,标准化输出/logo/DFA\2024\DFA_2024_03_9c215fc2_application_20241030_qOL8R.png,c3e59fa63a95,4317,3120,4080,2814,0.1098,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_04_b92c209d_application_20241030_O23rQ.jpg,标准化输出/logo/DFA\2024\DFA_2024_04_b92c209d_application_20241030_O23rQ.png,14d275839e02,4800,3403,4800,3403,0.0933,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_05_26b76c81_application_20241030_KbnrG.jpg,标准化输出/logo/DFA\2024\DFA_2024_05_26b76c81_application_20241030_KbnrG.png,253a74bf0ab9,4375,2917,4132,2917,0.1084,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_06_b2a921ba_application_20241030_U5beM.jpg,标准化输出/logo/DFA\2024\DFA_2024_06_b2a921ba_application_20241030_U5beM.png,f5f60a5b11e6,3600,2400,3573,2400,0.1254,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_07_8ba0652b_application_20241030_BocTb.jpg,标准化输出/logo/DFA\2024\DFA_2024_07_8ba0652b_application_20241030_BocTb.png,581466ce418d,3200,2400,3200,2400,0.14,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_08_82ab12f8_application_20241030_oenXm.jpg,标准化输出/logo/DFA\2024\DFA_2024_08_82ab12f8_application_20241030_oenXm.png,39ab5f7b9b18,5000,3581,4940,3540,0.0907,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_09_26b7cb54_application_20241031_GGucK.jpg,标准化输出/logo/DFA\2024\DFA_2024_09_26b7cb54_application_20241031_GGucK.png,6d03c55c01f4,3543,1772,3359,1127,0.1334,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_10_7dab365d_application_20241031_fHJ4X.jpg,标准化输出/logo/DFA\2024\DFA_2024_10_7dab365d_application_20241031_fHJ4X.png,801e733acf71,2400,2400,2400,2336,0.1867,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_11_a2826bc7_application_20241031_H2LeG.jpg,标准化输出/logo/DFA\2024\DFA_2024_11_a2826bc7_application_20241031_H2LeG.png,7cc2c0c838c7,2400,3199,2400,3199,0.14,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_12_b8697077_application_20241031_3qwAJ.jpg,标准化输出/logo/DFA\2024\DFA_2024_12_b8697077_application_20241031_3qwAJ.png,d72693ae0a4d,3508,2480,2655,601,0.1687,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_13_ded234c2_application_20241031_yvECC.jpg,标准化输出/logo/DFA\2024\DFA_2024_13_ded234c2_application_20241031_yvECC.png,f0ec42391c4f,3508,2480,2968,1005,0.1509,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_14_a1c54e69_application_20241031_4fdc7.jpg,标准化输出/logo/DFA\2024\DFA_2024_14_a1c54e69_application_20241031_4fdc7.png,5c4e6ea644a2,2400,3394,2400,3394,0.132,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_15_3709371c_application_20241031_bbTZG.jpg,标准化输出/logo/DFA\2024\DFA_2024_15_3709371c_application_20241031_bbTZG.png,40f156833d1f,2400,3394,2400,3394,0.132,512,448,True,False,255,logo
图包/中文奖项/DFA\2024\DFA_2024_16_f2cb3c9a_application_20241031_78HWD.png,标准化输出/logo/DFA\2024\DFA_2024_16_f2cb3c9a_application_20241031_78HWD.png,87a8cd3a3a92,2400,1350,2400,1350,0.1867,512,448,True,False,255,logo
