award,year,file,url,bytes,page,fetched
GDC,2021,GDC_2021_02_bd405456_d38cb812bd5f00d316df4311c634486f.webp,https://www.gdcaward.com/media/tmp/webp/detail/d38cb812bd5f00d316df4311c634486f.webp,51052,https://www.gdcaward.com/op/before_works/detail?id=366&bo=7&lang=cn,2026-09-02T23:17:39
GDC,2021,GDC_2021_01_75c3c897_a2c607f195d42c8e774ebdd64a4d6c13.webp,https://www.gdcaward.com/media/tmp/webp/detail/a2c607f195d42c8e774ebdd64a4d6c13.webp,108520,https://www.gdcaward.com/op/before_works/detail?id=637&bo=7&lang=cn,2026-09-02T23:17:52
GDC,2021,GDC_2021_02_571bf314_b7481c29ea7b6c7a5fed785f33ccfd44.webp,https://www.gdcaward.com/media/tmp/webp/detail/b7481c29ea7b6c7a5fed785f33ccfd44.webp,57470,https://www.gdcaward.com/op/before_works/detail?id=637&bo=7&lang=cn,2026-09-02T23:17:54
GDC,2021,GDC_2021_01_23e135f2_2878b47a274c8307e4ce4b1a5d0bc788.webp,https://www.gdcaward.com/media/tmp/webp/detail/2878b47a274c8307e4ce4b1a5d0bc788.webp,84540,https://www.gdcaward.com/op/before_works/detail?id=639&bo=7&lang=cn,2026-09-02T23:18:22
GDC,2021,GDC_2021_02_6c93df5b_2e48d9c3be772cf424c3d74a0b745d22.webp,https://www.gdcaward.com/media/tmp/webp/detail/2e48d9c3be772cf424c3d74a0b745d22.webp,43488,https://www.gdcaward.com/op/before_works/detail?id=639&bo=7&lang=cn,2026-09-02T23:18:23
GDC,2025,9,1536,GDC_2025_01_1536_27165-hwusUNxkPjkF02le4RS7HcGOLn9FtoLGyYchEBPCVCS3fppU.png,https://gdc-1252372196.cos.accelerate.myqcloud.com/27165-hwusUNxkPjkF02le4RS7HcGOLn9FtoLGyYchEBPCVCS3fppU.png,4367891,https://www.gdcaward.com/op/before_works/detail?id=1536&bo=9&lang=cn,2026-09-02T23:11:55
GDC,2025,9,1534,GDC_2025_02_1534_25416-o4C2T7iYxT4KRDj1nZTPDNMir39fcjllAYAelv2LZhfH5px2.jpg,https://gdc-1252372196.cos.accelerate.myqcloud.com/25416-o4C2T7iYxT4KRDj1nZTPDNMir39fcjllAYAelv2LZhfH5px2.jpg,2102654,https://www.gdcaward.com/op/before_works/detail?id=1534&bo=9&lang=cn,2026-09-02T23:12:52
GDC,2025,9,1533,GDC_2025_03_1533_23351-1j6j0UqvWxHJcowkUjBWGHiKaCWpeqUPlkiITSUL9AlQp95d.jpg,https://gdc-1252372196.cos.accelerate.myqcloud.com/23351-1j6j0UqvWxHJcowkUjBWGHiKaCWpeqUPlkiITSUL9AlQp95d.jpg,2893432,https://www.gdcaward.com/op/before_works/detail?id=1533&bo=9&lang=cn,2026-09-02T23:13:02
GDC,2025,9,1316,GDC_2025_04_1316_25189-Z2HXv3lBDfIumsUg6YkrjqxFUIJ6TjhBfnuOjrabUBeuidwv.jpg,https://gdc-1252372196.cos.accelerate.myqcloud.com/25189-Z2HXv3lBDfIumsUg6YkrjqxFUIJ6TjhBfnuOjrabUBeuidwv.jpg,3916347,https://www.gdcaward.com/op/before_works/detail?id=1316&bo=9&lang=cn,2026-09-02T23:13:13
GDC,2025,9,1315,GDC_2025_05_1315_21637-WOuuBZkseNBxYxqAhlivss0QEUHwdXoVMhHNV6h1RJwRoeVZ.jpg,https://gdc-1252372196.cos.accelerate.myqcloud.com/21637-WOuuBZkseNBxYxqAhlivss0QEUHwdXoVMhHNV6h1RJwRoeVZ.jpg,239731,https://www.gdcaward.com/op/before_works/detail?id=1315&bo=9&lang=cn,2026-09-02T23:13:21
GDC,2025,9,1276,GDC_2025_06_1276_24228-moxOMP41yRVLWIcyogNf72DT1s3dkpku9MkZV4jblXyEu16Q.jpg,https://gdc-1252372196.cos.accelerate.myqcloud.com/24228-moxOMP41yRVLWIcyogNf72DT1s3dkpku9MkZV4jblXyEu16Q.jpg,2183564,https://www.gdcaward.com/op/before_works/detail?id=1276&bo=9&lang=cn,2026-09-02T23:13:32
GDC,2025,9,1275,GDC_2025_07_1275_27005-rfR35ARdjpeLgafDfgmrap0hIyvDdlr9OHyZgGbmA31L6QeO.jpg,https://gdc-1252372196.cos.accelerate.myqcloud.com/27005-rfR35ARdjpeLgafDfgmrap0hIyvDdlr9OHyZgGbmA31L6QeO.jpg,274004,https://www.gdcaward.com/op/before_works/detail?id=1275&bo=9&lang=cn,2026-09-02T23:13:39
GDC,2025,9,1274,GDC_2025_08_1274_22558-amtRXkDHOC1lL8IqcBwrMxDr0OlCBuyWpNwwb9qAPpolJWH8.jpg,https://gdc-1252372196.cos.accelerate.myqcloud.com/22558-amtRXkDHOC1lL8IqcBwrMxDr0OlCBuyWpNwwb9qAPpolJWH8.jpg,2648626,https://www.gdcaward.com/op/before_works/detail?id=1274&bo=9&lang=cn,2026-09-02T23:13:56
GDC,2025,9,1273,GDC_2025_09_1273_24244-3xNuyxIHye7cSgjOjvX4dKscfPmh2S4XRZf8miDfYr0jZjNS.jpg,https://gdc-1252372196.cos.accelerate.myqcloud.com/24244-3xNuyxIHye7cSgjOjvX4dKscfPmh2S4XRZf8miDfYr0jZjNS.jpg,2835280,https://www.gdcaward.com/op/before_works/detail?id=1273&bo=9&lang=cn,2026-09-02T23:14:06
GDC,2025,9,1272,GDC_2025_10_1272_23701-OCH15UYAjIDrpBkANdmI3sfHG1IKv3tiENxQ2TvhlW5Goek5.jpg,https://gdc-1252372196.cos.accelerate.myqcloud.com/23701-OCH15UYAjIDrpBkANdmI3sfHG1IKv3tiENxQ2TvhlW5Goek5.jpg,1264322,https://www.gdcaward.com/op/before_works/detail?id=1272&bo=9&lang=cn,2026-09-02T23:14:20
