award,year,file,url,bytes,work_id,title,page,fetched
Golden Pin,2023,GoldenPin_2023_18_84eda414_image_f14ba1.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1120/image_f14ba1.jpeg,135319,1120,real food,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2023/comm/brand-identity,2026-09-02T22:47:25
Golden Pin,2024,GoldenPin_2024_01_d2c0c0f5_image_90df2c.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1946/image_90df2c.jpeg,5664958,1946,"“Hello, Human!” ",https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:47:36
Golden Pin,2024,GoldenPin_2024_02_c97c281d_image_0abb43.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1952/image_0abb43.jpeg,734054,1952,The National Museum in Kraków—brand identity,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:47:40
Golden Pin,2024,GoldenPin_2024_03_609bee83_image_03e6cf.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/2043/image_03e6cf.jpeg,3627753,2043,@®©,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:47:47
Golden Pin,2024,GoldenPin_2024_04_ea42c3a4_image_12f6f7.png,https://storage.googleapis.com/goldenpin/award_work/list_image/1913/image_12f6f7.png,43530,1913,Stupid Stay,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:47:49
Golden Pin,2024,GoldenPin_2024_05_91f49174_image_512eea.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1918/image_512eea.jpeg,284371,1918,Rebranding Beartai to BT Beartai,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:47:52
Golden Pin,2024,GoldenPin_2024_06_d73f6f38_image_c36a17.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1919/image_c36a17.jpeg,3861320,1919,Franoe Rebranding,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:48:01
Golden Pin,2024,GoldenPin_2024_07_6d736d68_image_1eae27.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1922/image_1eae27.jpeg,3047285,1922,FLOWING CURRENT & WASTE LAND,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:48:07
Golden Pin,2024,GoldenPin_2024_08_558c6e46_image_a6225b.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1924/image_a6225b.jpeg,1150656,1924,BANGKOK DESIGN WEEK 2024,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:48:11
Golden Pin,2024,GoldenPin_2024_09_656f49ef_image_1f5340.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1925/image_1f5340.jpeg,2755840,1925, Architect Expo 2022 : CO-WITH CREATORS ,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:48:19
Golden Pin,2024,GoldenPin_2024_10_af3fe1ab_image_88094d.png,https://storage.googleapis.com/goldenpin/award_work/list_image/1926/image_88094d.png,1227042,1926,Identity System for Bangkok Metropolitan Administration (BMA),https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:48:23
Golden Pin,2024,GoldenPin_2024_11_402cec97_image_8206eb.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1931/image_8206eb.jpeg,3110003,1931,Park Solo,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:48:31
Golden Pin,2024,GoldenPin_2024_12_7c9e0014_image_e281c5.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1932/image_e281c5.jpeg,2968748,1932,Landscape of haven ,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:48:38
Golden Pin,2024,GoldenPin_2024_13_8f96a5b2_image_e1c646.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1933/image_e1c646.jpeg,7811839,1933,On the Plain of Plenty,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:48:48
Golden Pin,2024,GoldenPin_2024_14_f61211be_image_1ae0a9.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1941/image_1ae0a9.jpeg,148034,1941,“(CUA)rchitect” Exhibition Visual Identity,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:48:51
Golden Pin,2024,GoldenPin_2024_15_f41f2fa7_image_6bdeaa.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1942/image_6bdeaa.jpeg,171340,1942,HKU Faculty of Social Sciences Information Day for Undergraduate Admission 2023 Identity,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:48:54
Golden Pin,2024,GoldenPin_2024_16_0266658c_image_7ba93d.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1951/image_7ba93d.jpeg,4190101,1951,Kapihan,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:49:02
Golden Pin,2024,GoldenPin_2024_17_5e0bd228_image_653dcc.jpeg,https://storage.googleapis.com/goldenpin/award_work/list_image/1953/image_653dcc.jpeg,3398817,1953,Coffee—Brand Identity,https://goldenpin.org.tw/goldenpin/zh-TW/winners/#2024/comm/brand-identity,2026-09-02T22:49:07
