award,year,file,url,bytes,category,sub_category,title,creator,page,fetched
Indigo,2021,Indigo_2021_13_6a6c66e9_e00a24f9d52f5185afc1bc18421791df.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/7078/image/e00a24f9d52f5185afc1bc18421791df.jpg,1714057,Branding,Events,Bluecore Open,Bluecore,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:28:59
Indigo,2021,Indigo_2021_14_bac5fd5f_midsize-308ea3a7ad5b6331f6c2f49599a71dde.jpg,https://indigoawards.s3.amazonaws.com/store/cover/6995/image/midsize-308ea3a7ad5b6331f6c2f49599a71dde.jpg,85270,Branding,Events,The 2020 Vision,RLD Creative,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:29:01
Indigo,2021,Indigo_2021_15_cc015d08_3b1d3e88fe5e4d3d7d2ad96e3fa85868.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/6447/image/3b1d3e88fe5e4d3d7d2ad96e3fa85868.jpg,276532,Branding,Events,Award Ceremony Branding Identities Design,UC DEVELOPMENT LIMITED,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:29:04
Indigo,2021,Indigo_2021_16_a6e9c2aa_2f48f882331c88cb44bc5d7e93d19b46.png,https://indigoawards.s3.amazonaws.com/cache/cover/7034/image/2f48f882331c88cb44bc5d7e93d19b46.png,136412,Branding,Events,Design Inspire,ValueLabs ,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:29:07
Indigo,2021,Indigo_2021_17_f44ff8ab_98549cbe5e0f0bcb8492b92130d788f3.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/6967/image/98549cbe5e0f0bcb8492b92130d788f3.jpg,4992177,Branding,Restaurants / Cafe,FELIX KITCHEN AND BAR'S IDENTITY,Graphasel Design Studio,https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:29:17
Indigo,2021,Indigo_2021_18_7e44f085_9adda84b3bd919831ed15596a95e1498.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/7892/image/9adda84b3bd919831ed15596a95e1498.jpg,381212,Branding,Restaurants / Cafe,Rice 'N Fire,"Chim Media, Inc.",https://www.indigoaward.com/winners/competition/2021,2026-09-02T23:29:20
Indigo,2022,Indigo_2022_01_b48565de_midsize-520db1b797024bd15b8223b06a7d8ff7.png,https://indigoawards.s3.amazonaws.com/store/cover/8533/image/midsize-520db1b797024bd15b8223b06a7d8ff7.png,180209,Branding,Services - Other,Mercer: Shining new light on a global consulting firm ,Lippincott,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:29:45
Indigo,2022,Indigo_2022_02_40c7a55c_midsize-ca76a5afa3bb7a1ddbee31e6fd21f6a7.png,https://indigoawards.s3.amazonaws.com/store/cover/10006/image/midsize-ca76a5afa3bb7a1ddbee31e6fd21f6a7.png,95793,Branding,Services - Other,Bea's Detroit ,Unsold Studio,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:29:49
Indigo,2022,Indigo_2022_03_ef6efae9_midsize-b3d22bff9b8116a2e64cd2f4ba707731.jpg,https://indigoawards.s3.amazonaws.com/store/cover/10362/image/midsize-b3d22bff9b8116a2e64cd2f4ba707731.jpg,1930081,Branding,Services - Other,Kids Cancer Centre Rebrand,SunnySideUp,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:29:55
Indigo,2022,Indigo_2022_04_68cda564_midsize-81aae1250fec89acdbe8880deb9cc348.jpg,https://indigoawards.s3.amazonaws.com/store/cover/8534/image/midsize-81aae1250fec89acdbe8880deb9cc348.jpg,39059,Branding,Services - Other,UKG: Bringing together two HR leaders for a unified future​  ​,Lippincott,https://www.indigoaward.com/winners/competition/2022,2026-09-02T23:29:57
