src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/国际奖项/Indigo\2022\Indigo_2022_02_40c7a55c_midsize-ca76a5afa3bb7a1ddbee31e6fd21f6a7.png,标准化输出/logo/Indigo\2022\Indigo_2022_02_40c7a55c_midsize-ca76a5afa3bb7a1ddbee31e6fd21f6a7.png,910271098113,600,425,430,328,1.0419,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_03_ef6efae9_midsize-b3d22bff9b8116a2e64cd2f4ba707731.jpg,标准化输出/logo/Indigo\2022\Indigo_2022_03_ef6efae9_midsize-b3d22bff9b8116a2e64cd2f4ba707731.png,0e1cc19065c4,600,400,576,383,0.7778,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_04_68cda564_midsize-81aae1250fec89acdbe8880deb9cc348.jpg,标准化输出/logo/Indigo\2022\Indigo_2022_04_68cda564_midsize-81aae1250fec89acdbe8880deb9cc348.png,74395b003e72,600,600,418,134,1.0718,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_05_0d91d297_29a549a3049343460d318f7fb79683bf.jpg,标准化输出/logo/Indigo\2022\Indigo_2022_05_0d91d297_29a549a3049343460d318f7fb79683bf.png,0493bcbe32fb,2000,1000,2000,1000,0.224,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_06_8f592570_bf4160c5e08baf25a3cb40144d74d990.jpg,标准化输出/logo/Indigo\2022\Indigo_2022_06_8f592570_bf4160c5e08baf25a3cb40144d74d990.png,dc1841bed624,3600,2905,3545,2475,0.1264,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_07_cedd52e8_f88b307a2adfe551f29bb67f99c18c09.png,标准化输出/logo/Indigo\2022\Indigo_2022_07_cedd52e8_f88b307a2adfe551f29bb67f99c18c09.png,96d97d018102,2400,1254,1512,524,0.2963,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_08_be8fbe30_midsize-92c280cafc47896f16e6db91c6fad601.jpg,标准化输出/logo/Indigo\2022\Indigo_2022_08_be8fbe30_midsize-92c280cafc47896f16e6db91c6fad601.png,2f3f955f50ce,600,400,600,400,0.7467,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_09_8336db61_midsize-cf2c80daa2790ed6b1fcc2c3d27d6436.png,标准化输出/logo/Indigo\2022\Indigo_2022_09_8336db61_midsize-cf2c80daa2790ed6b1fcc2c3d27d6436.png,6fdb010ed73c,600,338,290,159,1.5448,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_10_7a115231_midsize-4ec8c6a3e06545f210d1edf1ae1a861f.jpeg,标准化输出/logo/Indigo\2022\Indigo_2022_10_7a115231_midsize-4ec8c6a3e06545f210d1edf1ae1a861f.png,bc929b3dc3f1,600,338,592,338,0.7568,512,448,True,False,255,logo
图包/国际奖项/Indigo\2022\Indigo_2022_11_fed4e936_midsize-05e8040f537d6cffc5a310c626f431af.png,标准化输出/logo/Indigo\2022\Indigo_2022_11_fed4e936_midsize-05e8040f537d6cffc5a310c626f431af.png,471b3eb01df6,600,338,600,338,0.7467,512,448,True,False,255,logo
