src,out,src_sha1,orig_w,orig_h,content_w,content_h,scale,canvas,content_max,grayscale,binarize,bg,kind
图包/中文奖项/GDC\2025\GDC_2025_06_1276_24228-moxOMP41yRVLWIcyogNf72DT1s3dkpku9MkZV4jblXyEu16Q.jpg,标准化输出/logo/GDC\2025\GDC_2025_06_1276_24228-moxOMP41yRVLWIcyogNf72DT1s3dkpku9MkZV4jblXyEu16Q.png,8b48794e2c7f,3000,2000,3000,2000,0.1493,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_07_1275_27005-rfR35ARdjpeLgafDfgmrap0hIyvDdlr9OHyZgGbmA31L6QeO.jpg,标准化输出/logo/GDC\2025\GDC_2025_07_1275_27005-rfR35ARdjpeLgafDfgmrap0hIyvDdlr9OHyZgGbmA31L6QeO.png,e160952744ba,1200,1698,1200,1698,0.2638,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_08_1274_22558-amtRXkDHOC1lL8IqcBwrMxDr0OlCBuyWpNwwb9qAPpolJWH8.jpg,标准化输出/logo/GDC\2025\GDC_2025_08_1274_22558-amtRXkDHOC1lL8IqcBwrMxDr0OlCBuyWpNwwb9qAPpolJWH8.png,5a1c1f9b2a22,4000,2668,3312,2583,0.1353,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_09_1273_24244-3xNuyxIHye7cSgjOjvX4dKscfPmh2S4XRZf8miDfYr0jZjNS.jpg,标准化输出/logo/GDC\2025\GDC_2025_09_1273_24244-3xNuyxIHye7cSgjOjvX4dKscfPmh2S4XRZf8miDfYr0jZjNS.png,904b1b141655,14999,10998,14999,10998,0.0299,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_10_1272_23701-OCH15UYAjIDrpBkANdmI3sfHG1IKv3tiENxQ2TvhlW5Goek5.jpg,标准化输出/logo/GDC\2025\GDC_2025_10_1272_23701-OCH15UYAjIDrpBkANdmI3sfHG1IKv3tiENxQ2TvhlW5Goek5.png,502df9f12e98,4134,5906,3913,5731,0.0782,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_11_1271_26193-NbsJD6TF2P9QZdSORm4wxIx0cduVpdCkCeVSFsYJcmjKb2tE.jpg,标准化输出/logo/GDC\2025\GDC_2025_11_1271_26193-NbsJD6TF2P9QZdSORm4wxIx0cduVpdCkCeVSFsYJcmjKb2tE.png,3378ab74b005,3648,5472,3648,5035,0.089,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_12_1270_27073-XBbpCktrvcbkgYVwcZrLIpB3sMCu84MGqNwoxhqHnHGRsOH7.jpg,标准化输出/logo/GDC\2025\GDC_2025_12_1270_27073-XBbpCktrvcbkgYVwcZrLIpB3sMCu84MGqNwoxhqHnHGRsOH7.png,710d2f91fdb4,2220,2220,2180,1920,0.2055,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_13_1532_26493-NL0QAYYLyV5GXCnJnZyIwYR4xT8Xxq9eXZIjoe8tvejOHnOi.jpg,标准化输出/logo/GDC\2025\GDC_2025_13_1532_26493-NL0QAYYLyV5GXCnJnZyIwYR4xT8Xxq9eXZIjoe8tvejOHnOi.png,84c718367bd8,2500,3571,2393,3484,0.1286,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_14_1531_24343-dANJcTGQf85gPrZS94SR8cZYYEuF5TAxBDW0orCpBNguIvP1.jpg,标准化输出/logo/GDC\2025\GDC_2025_14_1531_24343-dANJcTGQf85gPrZS94SR8cZYYEuF5TAxBDW0orCpBNguIvP1.png,9149cbd38d73,1754,2481,1754,2481,0.1806,512,448,True,False,255,logo
图包/中文奖项/GDC\2025\GDC_2025_15_1530_22856-GNtxCOtd3ABfqGhKq4XuJqFmFhhpiqQEjfQtE6P9qNOijOmV.jpg,标准化输出/logo/GDC\2025\GDC_2025_15_1530_22856-GNtxCOtd3ABfqGhKq4XuJqFmFhhpiqQEjfQtE6P9qNOijOmV.png,a091ebb8b285,4368,1322,3779,883,0.1185,512,448,True,False,255,logo
